,close,rsi (14),macd,macd signal,bol_upper (20),bol_lower (20),sma50,sma100,sma200,Y
Sat Feb 10 14:39:00 2018,0.00011691,59.30677284332055,2.1599112498302633e-07,-6.911419542403108e-08,0.00011586750000000064,0.00011586750000000064,0.00011629579999999999,0.0001176336,0.00011859515000000013,1
Sat Feb 10 14:40:00 2018,0.00011707,60.77272162241165,2.5949883219909744e-07,-3.3915898994053777e-09,0.00011593000000000063,0.00011593000000000063,0.00011626980000000001,0.00011760530000000002,0.00011857015000000014,0
Sat Feb 10 14:42:00 2018,0.00011666,54.914070004927076,2.7776803345875526e-07,9.962832898861352e-08,0.00011602600000000065,0.00011602600000000065,0.00011620780000000001,0.00011754730000000001,0.00011851905000000015,1
Sat Feb 10 14:44:00 2018,0.00011762,63.7782092837365,3.865969416838068e-07,1.953482033221862e-07,0.00011621250000000065,0.00011621250000000065,0.0001161766,0.00011751310000000003,0.00011847885000000013,0
Sat Feb 10 14:45:00 2018,0.00011702,55.845150935036614,3.7148841555157406e-07,2.3057624576806378e-07,0.00011628250000000064,0.00011628250000000064,0.00011615719999999999,0.00011748830000000003,0.00011845645000000012,1
Sat Feb 10 14:50:00 2018,0.00011835,66.74473056155924,5.569847326914118e-07,4.117703044492565e-07,0.00011694100000000065,0.00011694100000000065,0.00011621719999999999,0.00011743530000000002,0.00011838060000000011,0
Sat Feb 10 14:52:00 2018,0.00011726,52.186285948573854,4.804104642410964e-07,4.475777563616626e-07,0.00011719750000000067,0.00011719750000000067,0.000116245,0.00011741400000000002,0.00011834290000000012,1
Sat Feb 10 14:54:00 2018,0.00011743,54.02945152845674,3.8373415407277987e-07,4.3074735134797473e-07,0.00011737800000000066,0.00011737800000000066,0.0001162818,0.00011739090000000004,0.00011831105000000012,0
Sat Feb 10 14:59:00 2018,0.0001168,46.049147308693726,1.1329553485531305e-07,2.7591417450627513e-07,0.00011739850000000065,0.00011739850000000065,0.0001163874,0.00011730360000000007,0.0001182491000000001,1
Sat Feb 10 15:00:00 2018,0.0001169,47.641055158904216,8.216900151810584e-08,2.3716513990864127e-07,0.00011739000000000066,0.00011739000000000066,0.00011641439999999999,0.00011728230000000007,0.0001182349500000001,0
Sat Feb 10 15:03:00 2018,0.00011617,38.03448877736283,-7.609775813617126e-08,1.1075033882345792e-07,0.00011729250000000065,0.00011729250000000065,0.0001164932,0.00011719610000000006,0.00011819405000000009,1
Sat Feb 10 15:04:00 2018,0.00011641,42.41359767496343,-1.058138570408419e-07,6.743749965059795e-08,0.00011723200000000064,0.00011723200000000064,0.00011651999999999999,0.00011716520000000006,0.0001181808500000001,0
Sat Feb 10 15:05:00 2018,0.00011613,38.954778043252105,-1.502260273275141e-07,2.3904794254975534e-08,0.00011718750000000065,0.00011718750000000065,0.0001165368,0.00011712970000000007,0.00011816845000000008,1
Sat Feb 10 15:07:00 2018,0.00011645,44.728974085833535,-1.723757016741282e-07,-4.659112765220359e-08,0.00011704450000000064,0.00011704450000000064,0.00011657559999999999,0.00011707010000000005,0.00011814815000000009,0
Sat Feb 10 15:10:00 2018,0.00011579,36.23346260235585,-2.5466477005486844e-07,-1.3345297878098515e-07,0.00011672100000000065,0.00011672100000000065,0.0001165808,0.00011697570000000005,0.0001181255000000001,1
Sat Feb 10 15:11:00 2018,0.00011637,46.56158117012821,-2.3456740486558993e-07,-1.536758639979061e-07,0.00011664050000000064,0.00011664050000000064,0.000116592,0.00011694780000000003,0.00011811985000000011,0
